,Source,Destination,Depature,Arrival,capacity
295,DEN,BOS,1108,1650,180
296,DEN,ORD,1110,1441,230
297,LAX,DEN,1113,1441,180
298,DEN,SFO,1120,1311,230
299,SFO,SEA,1122,1355,150
300,ORD,BOS,1125,1442,230
301,ORD,SFO,1125,1422,180
302,BOS,DEN,1152,1440,180
303,LAX,SFO,1215,1351,180
304,SFO,IAD,1215,2019,150
305,SEA,ORD,1230,1824,180
306,SEA,DEN,1235,1621,180
307,IAD,SFO,1235,1541,180
308,LAX,ORD,1240,1843,180
309,PHX,ORD,1243,1700,180
310,ORD,DEN,1245,1430,230
311,IAD,BOS,1245,1419,180
312,IAD,ORD,1245,1355,128
313,IAD,DEN,1250,1452,180
314,SFO,PHX,1252,1600,180
315,SFO,SEA,1252,1514,180
316,SFO,DEN,1255,1632,180
317,PHX,DEN,1300,1455,180
318,SFO,IAD,1300,2100,230
319,ORD,IAD,1300,1547,150
320,ORD,SFO,1300,1600,150
321,LAX,DEN,1310,1624,180
322,LAX,DEN,1313,1635,230
323,BOS,ORD,1320,1518,128
324,DEN,IAD,1325,1834,180
325,DEN,ORD,1328,1700,180
326,ORD,PHX,1330,1630,150
327,LAX,IAD,1340,2120,180
328,DEN,SFO,1340,1534,180
329,ATL,ORD,1342,1500,180
330,DEN,PHX,1342,1543,180
331,SFO,BOS,1350,2230,230
332,SEA,SFO,1358,1500,180
333,PHX,SFO,1358,1505,180
334,SFO,ORD,1400,2000,230
335,ORD,BOS,1400,1720,230
336,LAX,ORD,1403,2000,230
337,SEA,ORD,1405,1800,180
338,ORD,ATL,1416,1725,150
339,SFO,DEN,1423,1800,230
340,ORD,DEN,1424,1600,230
341,ATL,IAD,1425,1623,128
342,BOS,IAD,1435,1619,180
343,PHX,DEN,1444,1633,180
344,DEN,SFO,1446,1640,280
345,BOS,DEN,1517,1800,180
346,SFO,ORD,1535,2143,230
347,DEN,SEA,1540,1747,180
348,BOS,SFO,1540,1936,230
349,LAX,SFO,1545,1721,180
350,PHX,ORD,1555,2022,180
351,SEA,DEN,1600,1937,180
352,DEN,IAD,1600,2100,180
353,DEN,ORD,1600,1924,230
354,DEN,PHX,1600,1800,180
355,ORD,DEN,1600,1745,230
356,ORD,SEA,1600,1843,180
357,ORD,SFO,1600,1900,230
358,IAD,DEN,1600,1800,180
359,IAD,SFO,1600,1912,180
360,SFO,DEN,1606,1940,230
361,DEN,BOS,1606,2149,180
362,LAX,DEN,1608,1929,180
363,DEN,SFO,1615,1800,230
364,SFO,SEA,1624,1842,150
365,BOS,ORD,1640,1838,150
366,SEA,SFO,1653,1800,180
367,PHX,SFO,1653,1800,180
368,SFO,ORD,1709,2318,230
369,IAD,BOS,1711,1900,128
370,DEN,SFO,1715,1900,230
371,IAD,ORD,1720,1835,150
372,DEN,ORD,1730,2100,230
373,IAD,DEN,1730,1940,180
374,IAD,SEA,1730,2030,180
375,IAD,SFO,1730,2030,180
376,DEN,IAD,1735,2248,180
377,DEN,BOS,1737,2324,180
378,PHX,DEN,1740,1929,150
379,DEN,ATL,1740,2231,150
380,IAD,PHX,1750,2100,180
381,SFO,DEN,1800,2134,230
382,ORD,IAD,1800,2100,150
383,ORD,DEN,1800,1941,180
384,ORD,SFO,1800,2100,180
385,BOS,SFO,1800,2000,230
386,LAX,DEN,1814,2135,180
387,ORD,BOS,1815,2140,230
388,BOS,ORD,1825,2023,150
389,LAX,SFO,1830,2006,180
390,SEA,SFO,1837,1944,150
391,PHX,SFO,1837,2000,150
392,IAD,SFO,1845,2200,180
393,SFO,PHX,1900,2200,180
394,SFO,SEA,1900,2100,150
395,DEN,ORD,1900,2225,230
